Unnamed: 0.1,Unnamed: 0,text,label,cleaned_text
17,17,I'm a political opinionated patriotic secular liberal center kind of guy .... and I choose to speak for… ,0,im a political opinionated patriotic secular liberal center kind of guy and i choose to speak for
18,18,yeah this must hurt like a bitch ,0,yeah this must hurt like a bitch
19,19,"Pearl: To begin, this Holopearl will be your opponent. Holopearl: Level zero beginner set! Do you wish to engage in ",0,pearl to begin this holopearl will be your opponent holopearl level zero beginner set do you wish to engage in
20,20,A huge legal 'flaw' in Brexit could make it vulnerable to a court challenge ,0,a huge legal flaw in brexit could make it vulnerable to a court challenge
21,21,Let's kill the childish lie that Labour supports the Tories on ,0,lets kill the childish lie that labour supports the tories on
22,22,Best thing for is back defending paedophile priests. Pell needs his help RIGHT now ,0,best thing for is back defending paedophile priests pell needs his help right now
23,23,Third sign in three days Brexit is hurting the economy ,0,third sign in three days brexit is hurting the economy
24,24,"Donald Trump Is Not a ""Legitimate President"" JohnLewis is a TRAITOR to AMERICANS who voted for DJT! ",1,donald trump is not a legitimate president johnlewis is a traitor to americans who voted for djt
25,25,Why you talking to your daddy like an underpaid ,0,why you talking to your daddy like an underpaid
26,26,"Hearts in Ireland | Ian Cathro talks Perry Kitchen, midfield reinforcements &amp; Kyle Lafferty debut… ",0,hearts in ireland ian cathro talks perry kitchen midfield reinforcements amp kyle lafferty debut
27,27,Good morning! Intense week of press coverage for The new Hotel on ,0,good morning intense week of press coverage for the new hotel on
28,28,Lived experience vs ideology - Caller Tells Katie: Working With Migrants Changed My 'Liberal' Husband ,0,lived experience vs ideology caller tells katie working with migrants changed my liberal husband
29,29,Jdb Justin ,0,jdb justin
30,30,Death of talented teen footballer (16) from 'cocaine-like' designer drug is first recorded in Ireland… ,0,death of talented teen footballer from cocainelike designer drug is first recorded in ireland
31,31,BBC News - Exorcism in Italy a job 'too scary' for young priests ,0,bbc news exorcism in italy a job too scary for young priests
32,32,If Obama did ANY of the lunatic things has done since taking office the would have literally set the White ,0,if obama did any of the lunatic things has done since taking office the would have literally set the white
33,33,"It's back with Southern Ireland, where it ",0,its back with southern ireland where it
34,34,Obsessed with Obama who's presidency history will see as remarkable. 0 convictions from the black POTUS. How ,0,obsessed with obama whos presidency history will see as remarkable convictions from the black potus how
35,35,Raising real concerns on behalf of and but no assurance or answer from govt ,0,raising real concerns on behalf of and but no assurance or answer from govt
36,36,Trump administration begins pushing Obama’s tax policies ,0,trump administration begins pushing obamas tax policies
37,37,A beautiful spot next to Dromoland Castle. Co Clare Ireland. ,0,a beautiful spot next to dromoland castle co clare ireland
38,38,'First they came for Katie Hopkins' was a joke but 'then they came for Luciana and I did not speak out for ,0,first they came for katie hopkins was a joke but then they came for luciana and i did not speak out for
39,39,t care what he thinks or ,1,t care what he thinks or
40,40,The EU's chief Brexit negotiator says 'frictionless trade' is 'not possible' after Britain leaves ,0,the eus chief brexit negotiator says frictionless trade is not possible after britain leaves
41,41,Jimmy tell us about dlf Ireland research and deve… ,0,jimmy tell us about dlf ireland research and deve
42,42,Hacked computer server that handled DNC email remains out of reach of Russia investigators by Obama AG Lynch order ,0,hacked computer server that handled dnc email remains out of reach of russia investigators by obama ag lynch order
43,43,Sleep with the fishes: Gove's first move raises alarm over UK hard Brexit strategy via ,0,sleep with the fishes goves first move raises alarm over uk hard brexit strategy via
44,44,my mirror: YAS BITCH YOU LOOK AMAZING! SLAY! my phone camera: ,0,my mirror yas bitch you look amazing slay my phone camera
45,45,376. ) thanks Obama ,0,thanks obama
46,46,"Liberal man goes to rescue refugees, starts hating refugees. ",1,liberal man goes to rescue refugees starts hating refugees
47,47,It isn't going to work. It will most hurt those who voted for it. I've lost my struggle to be optimistic about Brexit. ,0,it isnt going to work it will most hurt those who voted for it ive lost my struggle to be optimistic about brexit
48,48,Ireland ,0,ireland
49,49,"Another hour! It's July 06, 2017 at 07:00AM Justin ",0,another hour its july at am justin
50,50,dam I'm a hard ass bitch ,0,dam im a hard ass bitch
51,51,"""amount of energy necessary to refute Brexit bullshit is order of magnitude bigger than to produce it"" By ",0,amount of energy necessary to refute brexit bullshit is order of magnitude bigger than to produce it by
52,52,Donald Trump lays out the truth about Obama and the globalists on the world stage. You can't put thi… ,0,donald trump lays out the truth about obama and the globalists on the world stage you cant put thi
53,53,IM LIKE GAWD DAMN YOU DIRTY BITCH ,1,im like gawd damn you dirty bitch
54,54,"U.S. President Donald Trump says ""nations must publicly demonstrate to North Korea that there are consequences for ",0,us president donald trump says nations must publicly demonstrate to north korea that there are consequences for
55,55,Must have to pose as tolerant and caring liberal while making homosexual slurs like Making Star ,1,must have to pose as tolerant and caring liberal while making homosexual slurs like making star
56,56,Find out all about the stories team behind Ireland's Gin in our 'Meet the Maker' interview:… ,0,find out all about the stories team behind irelands gin in our meet the maker interview
57,57,Its the sorta shit a Katie Hopkins or Tommy Rob idoliser would say...gives away there ,0,its the sorta shit a katie hopkins or tommy rob idoliser would saygives away there
58,58,"Yes! Bcs we love and respect unconditionally,treat him like an human being, an artist and a ",0,yes bcs we love and respect unconditionallytreat him like an human being an artist and a
59,59,Long hair and a flat top is gay ,1,long hair and a flat top is gay
60,60,I very rarely agree with Catholic priests but this I completely agree with. ,0,i very rarely agree with catholic priests but this i completely agree with
61,61,CNN threatened to publish his name and address you old billy goat! Whose side… ,1,cnn threatened to publish his name and address you old billy goat whose side
62,62,"(4) More photos of Justin Bieber spotted out in Sydney, Australia today. (July 6) ",0,more photos of justin bieber spotted out in sydney australia today july
63,63,Its not gay to respect women. But it is pussy to love a ,1,its not gay to respect women but it is pussy to love a
64,64,There is a cure to liberal madness - it's called traditionalism. ,1,there is a cure to liberal madness its called traditionalism
65,65,NI priests receive honours for peace and Irish language services ,0,ni priests receive honours for peace and irish language services
66,66,1500 words from and me on 12 lessons for Brexit from Norway's 23 years outside EU but in Single Market ,0,words from and me on lessons for brexit from norways years outside eu but in single market
67,67,i'm not gay? shut your ,0,im not gay shut your
68,68,DRUG-FUELLED GAY ORGY AT VATICAN... ,0,drugfuelled gay orgy at vatican
69,69,Maybe the church of priests. ,0,maybe the church of priests
70,70,For priests and politicians it seems to be one law for them and a different one for the rest of us. Hypocrites all? ,0,for priests and politicians it seems to be one law for them and a different one for the rest of us hypocrites all
71,71,"mum: whose twenty one pilots shirt is this dad: that's shannons, its her favourite band me: DAMN STRAIGHT ",0,mum whose twenty one pilots shirt is this dad thats shannons its her favourite band me damn straight
72,72,Give us as wave.... Hey Buddy Hey Biebsy I never heard Justin been call Biebsy. Justin Bieber ,0,give us as wave hey buddy hey biebsy i never heard justin been call biebsy justin bieber
73,73,Another stupid liberal disaster for a leader. ,1,another stupid liberal disaster for a leader
74,74,"Trump tells it like it is and speaks his mind, refreshing as politicians normally never answer a question ",0,trump tells it like it is and speaks his mind refreshing as politicians normally never answer a question
75,75,Good Morning Beliebers Justin Bieber ,0,good morning beliebers justin bieber
76,76,Brexit is slow train crash...... Labour has to reverse policy and give our voters a choice. ,0,brexit is slow train crash labour has to reverse policy and give our voters a choice
77,77,The SNP are going to bankrupt Scotland ,0,the snp are going to bankrupt scotland
78,78,Gay Update: I'm currently feeling symphonically ,0,gay update im currently feeling symphonically
79,79,Hated by the Right. Mocked by the Left. Who Wants to Be ‘Liberal’ Anymore? ,0,hated by the right mocked by the left who wants to be liberal anymore
80,80,"YOU HAVE MADE THEM TO BE A KINGDOM AND PRIESTS TO SERVE OUR GOD, AND THEY WILL REIGN ON THE EARTH. ( REV. 5: 10 ",0,you have made them to be a kingdom and priests to serve our god and they will reign on the earth rev
81,81,"i don't think, i know i'm a funny bitch",0,i dont think i know im a funny bitch
82,82,"At last, someone tells us what means. This, from ",0,at last someone tells us what means this from
83,83,"Globalist and Socialist spreading their NWO. Using PC, Religion and Racism to accomplish it. Merkel helped the Devil ",1,globalist and socialist spreading their nwo using pc religion and racism to accomplish it merkel helped the devil
84,84,"Police stand idly by, watching the islamic hate speech yet arrest anyone who criticises islam. Self destructive ",0,police stand idly by watching the islamic hate speech yet arrest anyone who criticises islam self destructive
85,85,Donald Trump to give major speech in Poland - BBC News ,0,donald trump to give major speech in poland bbc news
86,86,define Justin ,0,define justin
87,87,Right-wing pols must put nation’s health above Obama disdain ,0,rightwing pols must put nations health above obama disdain
88,88,Roche and Ireland's Biggest Biopharma take their Parkinson's Antibody to Phase II ,0,roche and irelands biggest biopharma take their parkinsons antibody to phase ii
89,89,"""WE JUST DONT KNOW. IT COULD HAVE BEEN OTHER COUNTRIES TOO. OBAMA WAS AT FAULT?"" LIKE DUDE HOW STUPID DO YOU THINK WE ALL ",0,we just dont know it could have been other countries too obama was at fault like dude how stupid do you think we all
90,90,"As a monotheist, he was despised by the priests of other cults and most depictions of him were destroyed after his ",0,as a monotheist he was despised by the priests of other cults and most depictions of him were destroyed after his
91,91,Brexit negotiator in post-exit trade warning ,0,brexit negotiator in postexit trade warning
92,92,Trump supporter vandalized school with ‘liberal hate speech’ to frame White House detractors ,0,trump supporter vandalized school with liberal hate speech to frame white house detractors
93,93,"'Twas Brexit, and the slimy Gove Did lie, dissembling, in the Mail All flimsy was the case for Leave And Remainers' wrath ",1,twas brexit and the slimy gove did lie dissembling in the mail all flimsy was the case for leave and remainers wrath
94,94,"More liberal criticism of Trump's attacks on the free press. Oh wait, this is from a GOP Senator. ",1,more liberal criticism of trumps attacks on the free press oh wait this is from a gop senator
95,95,Pope ‘infuriated’ after cops raid drug-fueled ‘gay orgy’ at Vatican priest’s apartment: report... ,0,pope infuriated after cops raid drugfueled gay orgy at vatican priests apartment report
96,96,What a sexy bitch,0,what a sexy bitch
97,97,Check out Shannon Crystal Designs Of Ireland 24% Lead Crystal Single Candlestick 6 1/2 In via ,0,check out shannon crystal designs of ireland lead crystal single candlestick in via
98,98,David Guetta ft Justin Bieber - 2U (The Victoria’s Secret Angels Lip Sync) ,0,david guetta ft justin bieber u the victorias secret angels lip sync
99,99,How become the voice of liberal Britain ,0,how become the voice of liberal britain
100,100,"CNN is claiming Trump's wrestling tweet was anti-Islam and racist. When things go against you, the Liberal play book says ",1,cnn is claiming trumps wrestling tweet was antiislam and racist when things go against you the liberal play book says
101,101,Phelan sets out how Hrabanus Maurus's commentary on Matthew worked as a handbook for busy priests on the go in C9 Mainz ,0,phelan sets out how hrabanus mauruss commentary on matthew worked as a handbook for busy priests on the go in c mainz
102,102,"Senior Tax Manager, Top 12, Dublin - ",0,senior tax manager top dublin
103,103,"""Fake news!"" ",0,fake news
104,104,"Its called the LoganAct and u just violated it again, Barack Obama And there will be consequences for your behavior ",1,its called the loganact and u just violated it again barack obama and there will be consequences for your behavior
105,105,Donald Trump thinks Russia might have interfered in the 2016 US election: AFP ,0,donald trump thinks russia might have interfered in the us election afp
106,106,NORTH KOREA MISSLE: HOLLYWOOD Foreshadowing. Too bad Obama didn't see movie.,0,north korea missle hollywood foreshadowing too bad obama didnt see movie
107,107,"Liberal can't believe Trump will win in 2020, Retweet if you think he will WIN in 2020! Click here to get a T-shirt",0,liberal cant believe trump will win in retweet if you think he will win in click here to get a tshirt
108,108,good morning harry did THAT he's acting bitch ,0,good morning harry did that hes acting bitch
109,109,'President Obama Was The Greatest Hoax Ever Perpetrated On The American People',1,president obama was the greatest hoax ever perpetrated on the american people
110,110,Corporate lobbyists and shock doctrinistas are negotiating Brexit. We need to be vigilant. ,0,corporate lobbyists and shock doctrinistas are negotiating brexit we need to be vigilant
111,111,Justin Bieber's Crowd,0,justin biebers crowd
112,112,Policy Exchange was co-founded by Michael Gove ,0,policy exchange was cofounded by michael gove
113,113,Much at stake as Ireland women’s hockey team enters semi-finals Triumph over Japan in Johannesburg would kee… ,0,much at stake as ireland womens hockey team enters semifinals triumph over japan in johannesburg would kee
114,114,Stay up to date with THE JUICE! Follow US!!! Police Raid Vatican Priest’s Drug-Fueled ‘Gay Orgy’ In Apartment R... ,0,stay up to date with the juice follow us police raid vatican priests drugfueled gay orgy in apartment r
115,115,late night thoughts can go one of two ways.. 1. freaky as fuck or 2.. sad denna ,0,late night thoughts can go one of two ways freaky as fuck or sad denna
116,116,Otherwise I think there's danger of a backlash pushing us faster and harder into ,0,otherwise i think theres danger of a backlash pushing us faster and harder into
117,117,Does work? Ireland is at the forefront of our own political debate in the UK ,0,does work ireland is at the forefront of our own political debate in the uk
118,118,The EU is now booming - their migrants are returning. May is wrong to put immigration clampdown over UK economy. ,0,the eu is now booming their migrants are returning may is wrong to put immigration clampdown over uk economy
119,119,smooth teen sex gay naked latinas photos ,0,smooth teen sex gay naked latinas photos
120,120,wanna wear my dungarees to pride but also don't wanna look completely indistinguishable frm every other white gay there ,0,wanna wear my dungarees to pride but also dont wanna look completely indistinguishable frm every other white gay there
121,121,"I am Team Bieber...I will not hide, I wont back down! I will show my unconditional support for Justin ",0,i am team bieberi will not hide i wont back down i will show my unconditional support for justin
122,122,There will be no frictionless border between Ireland and the UK. It's a fiction. ,0,there will be no frictionless border between ireland and the uk its a fiction
123,123,"""Somoza may be a son-of-a-bitch but he's our son-of-a-bitch."" - FDR ",0,somoza may be a sonofabitch but hes our sonofabitch fdr
124,124,"Well seeing that you're 5'6, you're pretty much a bitch too. You're dismissed. ",1,well seeing that youre youre pretty much a bitch too youre dismissed
125,125,Interstate showdown between Liberal Coastal Elites and the Red State Religious could haunt the Democrats in 2020 ,0,interstate showdown between liberal coastal elites and the red state religious could haunt the democrats in
126,126,"(3) Another video of Justin Bieber out in Sydney, Australia today. (July 6) ",0,another video of justin bieber out in sydney australia today july
127,127,Where's the outrage from Obama? No comment about the death of a police officer in ,0,wheres the outrage from obama no comment about the death of a police officer in
128,128,Do Catholic priests forget what they are told in confession? by Christianos Williams ,0,do catholic priests forget what they are told in confession by christianos williams
129,129,Sewoon and Kihyun singing justin bieber's boyfriend my god ,0,sewoon and kihyun singing justin biebers boyfriend my god
130,130,Trump administration delays Obama policy allowing transgenders to enlist in military | News | LifeSite ,0,trump administration delays obama policy allowing transgenders to enlist in military news lifesite
131,131,Not totally accurate. I've come across plenty Catholics who defend/deny the abuse/priests. ,0,not totally accurate ive come across plenty catholics who defenddeny the abusepriests
132,132,Justin Bieber via Facebook: ,0,justin bieber via facebook
133,133,life is absurd im gay ,0,life is absurd im gay
134,134,Test drive the and discover why it's Ireland's best-selling car. Book your test drive today:… ,0,test drive the and discover why its irelands bestselling car book your test drive today
135,135,"Donald Trump to say in Poland speech ""fundamental question of our time is whether the West has the will to survive"" ",0,donald trump to say in poland speech fundamental question of our time is whether the west has the will to survive
136,136,"Video of Justin Bieber out in Sydney, Australia today. (July 6) ",0,video of justin bieber out in sydney australia today july
137,137,Charlie Gard: Donald Trump 'to confront Theresa May over terminally ill baby boy' ,0,charlie gard donald trump to confront theresa may over terminally ill baby boy
138,138,"Assistant Financial Accountant, South Dublin, South Dublin - ",0,assistant financial accountant south dublin south dublin
139,139,Liam Fox just did a 'Leadsom' and accused the media of wanting Brexit to fail via ,0,liam fox just did a leadsom and accused the media of wanting brexit to fail via
140,140,imagine your boyfriend dies and 5 b*tches post flipagrams and screenshots about how he was the love of they life. bitch ,1,imagine your boyfriend dies and btches post flipagrams and screenshots about how he was the love of they life bitch
141,141,Vatican Police Raid Top Priest’s Apartment For Drugs And Find Gay Orgy - ,0,vatican police raid top priests apartment for drugs and find gay orgy
142,142," says if you join the NSW Liberal Party, you have almost no say in policy debates or pre-selection ",0,says if you join the nsw liberal party you have almost no say in policy debates or preselection
143,143,Polly takes balanced view of and at last. Thank you ,0,polly takes balanced view of and at last thank you
144,144,170706 ♡ JUSTIN BIEBER PURPOSE TOUR ,0,justin bieber purpose tour
145,145,"Wonderful to hear Sharan Burrow, leader of the global trade union movement, address us here in Belfast, Ireland at… ",0,wonderful to hear sharan burrow leader of the global trade union movement address us here in belfast ireland at
146,146,"Donegal, Ireland ",0,donegal ireland
147,147,can you believe there's people saying justin bieber can't sing. so blessed that i got to hear this life ,0,can you believe theres people saying justin bieber cant sing so blessed that i got to hear this life
148,148,Latest FIFA Men's World Ranking: 13 - England 20 - Wales 22 - Northern Ireland 29 - Rep of Ireland 58 - ,0,latest fifa mens world ranking england wales northern ireland rep of ireland
149,149,"But life is short like my height, I was already home and I can't forget her smile goddammit I'm not gay but srsly i… ",0,but life is short like my height i was already home and i cant forget her smile goddammit im not gay but srsly i
150,150,Brexit faces potential court challenge over 'technical flaw' in way Article 50 was triggered ,0,brexit faces potential court challenge over technical flaw in way article was triggered
151,151,Lunch with Obama was dope yesterday ,0,lunch with obama was dope yesterday
152,152,"i can't believe the newest danish political party's name can be translated to ""new bourgeois"" or ""new ",0,i cant believe the newest danish political partys name can be translated to new bourgeois or new
153,153,there will be a big crowd because they have bussed people in. Obama never had to have people bussed in. Trump in ,1,there will be a big crowd because they have bussed people in obama never had to have people bussed in trump in
154,154,"Ireland joins France, Germany and Bulgaria in banning fracking - UK needs to follow",0,ireland joins france germany and bulgaria in banning fracking uk needs to follow
155,155,The Americans left it too late to book a hotel for Trump in Hamburg for the G20. via ,0,the americans left it too late to book a hotel for trump in hamburg for the g via
156,156,"Asked about well-documented Russian meddling in '16, Trump says it could have been Russia and other countries -- pivots ",0,asked about welldocumented russian meddling in trump says it could have been russia and other countries pivots
157,157,Never let you go Justin ,0,never let you go justin
158,158,even APPARENTLY sinc… ,0,even apparently sinc
159,159,In their little liberal minds they think they are the only people that m… ,1,in their little liberal minds they think they are the only people that m
160,160,"18. Beautiful Soul - Jesse McCartney. Before we had Justin Bieber, we had teen pop sensation Jesse McCartney. ",0,beautiful soul jesse mccartney before we had justin bieber we had teen pop sensation jesse mccartney
161,161,BITCH OMG ,0,bitch omg
162,162,'Twas Brexit ... via ,0,twas brexit via
163,163,Caller Tells Katie: Working With Migrants Changed My 'Liberal' Husband ,0,caller tells katie working with migrants changed my liberal husband
164,164,"Ok, so I'm not the only that has thought The Rock and Barack Obama look alike in some way. Just found this face mashup ",0,ok so im not the only that has thought the rock and barack obama look alike in some way just found this face mashup
165,165,that's because everyone's fucking gay kumiko ,1,thats because everyones fucking gay kumiko
166,166,All these nancies who want to axe my Ass please I am not a gay. Please stop nagging my inbox with your stupid nude ,1,all these nancies who want to axe my ass please i am not a gay please stop nagging my inbox with your stupid nude
167,167,Priests make arrangements to offer the holy drink to Lord Jagannath for Adhar Pana begin ,0,priests make arrangements to offer the holy drink to lord jagannath for adhar pana begin
168,168,Karma is a Bitch... Give out what you want to ,0,karma is a bitch give out what you want to
169,169,Justin Bieber crowd tonight! ,0,justin bieber crowd tonight
170,170,"McCain is a SELL-OUT, and a COWARD, and a Bitch, like OBAMA, took millions from SANTANIC PEDOFILE GEORGE ",1,mccain is a sellout and a coward and a bitch like obama took millions from santanic pedofile george
171,171,18. But. Rest assured that a change is coming. No one currently has a democratic mandate for the shape of ,0,but rest assured that a change is coming no one currently has a democratic mandate for the shape of
172,172,"if a bitch smiles when she mad, she's crazy as hell ",0,if a bitch smiles when she mad shes crazy as hell
173,173,Won't spoked a word on crimes of Maulavis/Priests but was greedy making news on innocent Hindu Saint ,0,wont spoked a word on crimes of maulavispriests but was greedy making news on innocent hindu saint
174,174,"This is what Brexit ""hardball"" looks like from the EU\'s Michel Barnier aka ""you can have your cake and pay for it"" via ",0,this is what brexit hardball looks like from the eus michel barnier aka you can have your cake and pay for it via
175,175,Letter of the week in today's about those new Tory Brexit tribes ,0,letter of the week in todays about those new tory brexit tribes
176,176,There's a slut on my dick! ,1,theres a slut on my dick
177,177,"Business Development Consultant - French Market, Dublin - ",0,business development consultant french market dublin
178,178,1st Qtr. Salary to Go to Fix Antietam Battlefield ,0,st qtr salary to go to fix antietam battlefield
179,179,"and rule Hot 100 yet again with ""Despacito,"" feat. ",0,and rule hot yet again with despacito feat
180,180,Justin Bieber - Love ,0,justin bieber love
181,181,Do you think it'll be worth staying in the UK post ,0,do you think itll be worth staying in the uk post
182,182,“despacito (remix)” is officially the most popular song in genius HISTORY,0,despacito remix is officially the most popular song in genius history
183,183,"Lindsay Lohan defends President Trump, asks people stop 'bullying him' ",0,lindsay lohan defends president trump asks people stop bullying him
184,184,rt if you're gay/lesbian rt if you're trans/bi rt if you're straight rt if you support gay rights rt if we should throw ,0,rt if youre gaylesbian rt if youre transbi rt if youre straight rt if you support gay rights rt if we should throw
185,185,"Contrast with President Obama, who often made a point of extolling a free press — especially when ",0,contrast with president obama who often made a point of extolling a free press especially when
186,186,The EU's chief negotiator just made an ominous warning about ,0,the eus chief negotiator just made an ominous warning about
187,187,"Trump admits Obama ""was told it was Russia by the CIA"" that meddled in US election. Then equivocates and launches i… ",0,trump admits obama was told it was russia by the cia that meddled in us election then equivocates and launches i
188,188,If I were a right winger this is what I would be. Seems about right since I am a social liberal who voted for Ron Paul ,0,if i were a right winger this is what i would be seems about right since i am a social liberal who voted for ron paul
189,189,BITCH WTF IS THIS ,1,bitch wtf is this
190,190,"With returning July 17th, pubs around Ireland are busy preparing for its return! ",0,with returning july th pubs around ireland are busy preparing for its return
191,191,even APPARENTLY sincere MORTAL priests truly LETHAL ALL choose freely IMMORTAL high priest as Abraham did and ask God ALL perfect Love of ,0,even apparently sincere mortal priests truly lethal all choose freely immortal high priest as abraham did and ask god all perfect love of
192,192,"Those priests and elders believed in the gentile king, without believing in ",0,those priests and elders believed in the gentile king without believing in
193,193,This is what the Obama admin. was working on last summer (a deal that collapsed after the UN aid convoy bombing). ,0,this is what the obama admin was working on last summer a deal that collapsed after the un aid convoy bombing
194,194,"I must say, I do enjoy reading your tweets. You are so direct and truthful. Keep up th… ",0,i must say i do enjoy reading your tweets you are so direct and truthful keep up th
195,195,he also shot the Catholic priests (good Catholic that he ,0,he also shot the catholic priests good catholic that he
196,196,But 9gag is pretty gay ,1,but gag is pretty gay
197,197,DID YOU TURN INTO A LEFT LIBERAL PACIFIST?! COW ISN'T LOW ,1,did you turn into a left liberal pacifist cow isnt low
198,198,BREAKING: Northern Ireland reach highest ever FIFA world ranking ,0,breaking northern ireland reach highest ever fifa world ranking
199,199,The latest anti-ISIS strategy from the Pentagon looks a lot like the one under the Obama administration: ,0,the latest antiisis strategy from the pentagon looks a lot like the one under the obama administration
200,200,Anecto will be exhibiting at Med In Ireland 2017. See here for more information about Anecto: ,0,anecto will be exhibiting at med in ireland see here for more information about anecto
201,201,"Madeline's timeline is Trump, anti CNN, Katie Hopkins Despite her biog,… ",0,madelines timeline is trump anti cnn katie hopkins despite her biog
202,202,The biggest reason for priests’ silence in the face of our moral meltdown | Opinion | LifeSite ,0,the biggest reason for priests silence in the face of our moral meltdown opinion lifesite
203,203,Tabiki justin Justin ,0,tabiki justin justin
204,204,let me get my fatass to sleep before i get no sleep at all and i'm at work w zero hours of rest and dealing with bitch ass ,1,let me get my fatass to sleep before i get no sleep at all and im at work w zero hours of rest and dealing with bitch ass
205,205,"Senior DevOps Engineer Job, Dublin - ",0,senior devops engineer job dublin
206,206,Opro Become Official Mouthguard Of Hockey Ireland Opro teams up with Hockey Ireland to ensure players receiv… ,0,opro become official mouthguard of hockey ireland opro teams up with hockey ireland to ensure players receiv
207,207,You can thank Obama Hillary and the Left for their anti-police sentiment and siding w They luv prote… ,0,you can thank obama hillary and the left for their antipolice sentiment and siding w they luv prote
208,208,"Trump: Obama knew about election meddling back in early August and did nothing, he ‘choked’ - ",0,trump obama knew about election meddling back in early august and did nothing he choked
209,209,"Belieber are one family from different all around the world, colours, faiths, speaks different languages ",0,belieber are one family from different all around the world colours faiths speaks different languages
210,210,controversial carbonara is fit for a bedroom feast ,0,controversial carbonara is fit for a bedroom feast
211,211,Never mind no tickets being on sale for Celtic Fans.People from West Belfast have always been good at finding Touts ,0,never mind no tickets being on sale for celtic fanspeople from west belfast have always been good at finding touts
212,212,US-China gap on NKorea policy widening as interests diverge - U.S. President Donald Trump's hopes for China's h... ,0,uschina gap on nkorea policy widening as interests diverge us president donald trumps hopes for chinas h
213,213,Trudeau at Toronto Gay Pride Parade: “Pride mubarak…Happy Pride to Allah” ,0,trudeau at toronto gay pride parade pride mubarakhappy pride to allah
214,214,Breakfast of Champions ,0,breakfast of champions
215,215, bitch is you BLIND ,1,bitch is you blind
216,216,Last day of 3 2s v Wolves Ireland currently 95 for 5 lead of 55 ,0,last day of s v wolves ireland currently for lead of
217,217,"But you advertise in the Daily Mail, where columnist Katie Hopkins refers to fore… ",0,but you advertise in the daily mail where columnist katie hopkins refers to fore
218,218,"The Financial Times just printed their most NSFW letter ever, and it's about Brexit ",0,the financial times just printed their most nsfw letter ever and its about brexit
219,219,Straight people really don't know how to tell when someone is gay. Y'all think not following gender roles determines a ,1,straight people really dont know how to tell when someone is gay yall think not following gender roles determines a
220,220,Justin Bieber Is Unlike Any Other Pop Star in History | Oprah Winfrey Network... via ,0,justin bieber is unlike any other pop star in history oprah winfrey network via
221,221,I liked a video DeshBashi To(Despacito Parody) Justin Bieber Ft VATMAN[[VIDEO BABA ,0,i liked a video deshbashi todespacito parody justin bieber ft vatmanvideo baba
222,222,Last night latest to report fear of left Labour govt forcing elite rethink on Brexit ,0,last night latest to report fear of left labour govt forcing elite rethink on brexit
223,223,"Should be clear to all now that Trump is Putin's bitch, pardon the language. Must be very serious 'kompromat' Russia is in ",1,should be clear to all now that trump is putins bitch pardon the language must be very serious kompromat russia is in
224,224,Should do a celebrity version of starring and ,0,should do a celebrity version of starring and
225,225,"Thank you for sharing your dream letting us be part of your life, Journey Purpose ",0,thank you for sharing your dream letting us be part of your life journey purpose
226,226,The possessed priests? I don't think so; they use their timer code for something ,0,the possessed priests i dont think so they use their timer code for something
